level,name,shortcode,description,uri,broaderconcept,narrowerconcept,page_content
2,physical sciences,53,,http://data.europa.eu/esco/isced-f/053,['http://data.europa.eu/esco/isced-f/05'],"['http://data.europa.eu/esco/isced-f/0532', 'http://data.europa.eu/esco/isced-f/0531', 'http://data.europa.eu/esco/isced-f/0533', 'http://data.europa.eu/esco/isced-f/0539', 'http://data.europa.eu/esco/isced-f/0530']",physical sciences. 
1,information and communication technologies (icts),6,,http://data.europa.eu/esco/isced-f/06,['http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22'],"['http://data.europa.eu/esco/isced-f/061', 'http://data.europa.eu/esco/isced-f/068']",information and communication technologies (icts). 
2,journalism and information,32,,http://data.europa.eu/esco/isced-f/032,['http://data.europa.eu/esco/isced-f/03'],"['http://data.europa.eu/esco/isced-f/0322', 'http://data.europa.eu/esco/isced-f/0320', 'http://data.europa.eu/esco/isced-f/0329', 'http://data.europa.eu/esco/isced-f/0321']",journalism and information. 
3,"fashion, interior and industrial design",212,"Fashion, interior and industrial design is the study of creatively combining line, form and fabric in designing and constructing e.g. fashion garments, industrial products and interiors.
Programmes and qualifications with the following main content are classified here:
Costume design
Design of industrial products
Fashion design
Interior architecture
Interior design
Stage designing
Window dressing

=== Exclusions
Study of Building design is excluded from this detailed field and included in detailed field 0731 'Architecture and town planning'.
Study of Industrial design is excluded from this detailed field if emphasis is given to technical subjects and not to artistic design, and included in the appropriate detailed field under 071 'Engineering and engineering trades'.
Publishing design and graphic design are excluded from this detailed field and included in detailed field 0211 'Audio-visual techniques and media production'.",http://data.europa.eu/esco/isced-f/0212,['http://data.europa.eu/esco/isced-f/021'],[],"fashion, interior and industrial design. Fashion, interior and industrial design is the study of creatively combining line, form and fabric in designing and constructing e.g. fashion garments, industrial products and interiors.
Programmes and qualifications with the following main content are classified here:
Costume design
Design of industrial products
Fashion design
Interior architecture
Interior design
Stage designing
Window dressing

=== Exclusions
Study of Building design is excluded from this detailed field and included in detailed field 0731 'Architecture and town planning'.
Study of Industrial design is excluded from this detailed field if emphasis is given to technical subjects and not to artistic design, and included in the appropriate detailed field under 071 'Engineering and engineering trades'.
Publishing design and graphic design are excluded from this detailed field and included in detailed field 0211 'Audio-visual techniques and media production'."
3,statistics,542,"Statistics is the study of collecting, describing, arranging and analysing numerical data. The study of probability theory and actuarial science is included.
Programmes and qualifications with the following main content are classified here:
Actuarial science
Probability theory
Statistics, applied
Survey design
Survey sampling

=== Inclusions
Study of mathematical (theoretical) statistics is included here.

=== Exclusions
Demography/population studies is excluded from this detailed field and included in detailed field 0314 'Sociology and cultural studies'.",http://data.europa.eu/esco/isced-f/0542,['http://data.europa.eu/esco/isced-f/054'],[],"statistics. Statistics is the study of collecting, describing, arranging and analysing numerical data. The study of probability theory and actuarial science is included.
Programmes and qualifications with the following main content are classified here:
Actuarial science
Probability theory
Statistics, applied
Survey design
Survey sampling

=== Inclusions
Study of mathematical (theoretical) statistics is included here.

=== Exclusions
Demography/population studies is excluded from this detailed field and included in detailed field 0314 'Sociology and cultural studies'."
2,inter-disciplinary programmes and qualifications involving arts and humanities,28,,http://data.europa.eu/esco/isced-f/028,['http://data.europa.eu/esco/isced-f/02'],['http://data.europa.eu/esco/isced-f/0288'],inter-disciplinary programmes and qualifications involving arts and humanities. 
2,languages,23,,http://data.europa.eu/esco/isced-f/023,['http://data.europa.eu/esco/isced-f/02'],"['http://data.europa.eu/esco/isced-f/0231', 'http://data.europa.eu/esco/isced-f/0232', 'http://data.europa.eu/esco/isced-f/0230', 'http://data.europa.eu/esco/isced-f/0239']",languages. 
3,horticulture,812,"Horticulture is the study of horticultural technology and management, floriculture, greenhouse methods, nursery management, landscape gardening etc.
Programmes and qualifications with the following main content are classified here:
Floriculture
Gardening
Green keeping
Horticultural techniques
Nursery management
Turf cultivation

=== Inclusions
The laying out and construction of urban and domestic parks and gardens is included here.
Gardening programmes combining floriculture and growing vegetables are included here.

=== Exclusions
Study of growing edible crops (such as wheat, rice, fruit, vegetables etc,) is excluded from this detailed field and included in detailed field 0811 'Crop and livestock production'.
Study of soil science, soil fertility and irrigation techniques is excluded from this detailed field and included in detailed field 0811 'Crop and livestock production'.
Study of National park management is excluded from this detailed field and included in detailed field 0522 'Natural environments and wildlife'.
Study of Landscape architecture is excluded from this detailed field and included in detailed field 0731 'Architecture and town planning'.",http://data.europa.eu/esco/isced-f/0812,['http://data.europa.eu/esco/isced-f/081'],[],"horticulture. Horticulture is the study of horticultural technology and management, floriculture, greenhouse methods, nursery management, landscape gardening etc.
Programmes and qualifications with the following main content are classified here:
Floriculture
Gardening
Green keeping
Horticultural techniques
Nursery management
Turf cultivation

=== Inclusions
The laying out and construction of urban and domestic parks and gardens is included here.
Gardening programmes combining floriculture and growing vegetables are included here.

=== Exclusions
Study of growing edible crops (such as wheat, rice, fruit, vegetables etc,) is excluded from this detailed field and included in detailed field 0811 'Crop and livestock production'.
Study of soil science, soil fertility and irrigation techniques is excluded from this detailed field and included in detailed field 0811 'Crop and livestock production'.
Study of National park management is excluded from this detailed field and included in detailed field 0522 'Natural environments and wildlife'.
Study of Landscape architecture is excluded from this detailed field and included in detailed field 0731 'Architecture and town planning'."
2,arts and humanities not elsewhere classified,29,,http://data.europa.eu/esco/isced-f/029,['http://data.europa.eu/esco/isced-f/02'],['http://data.europa.eu/esco/isced-f/0299'],arts and humanities not elsewhere classified. 
2,generic programmes and qualifications not further defined,0,,http://data.europa.eu/esco/isced-f/000,['http://data.europa.eu/esco/isced-f/00'],['http://data.europa.eu/esco/isced-f/0000'],generic programmes and qualifications not further defined. 
3,teacher training with subject specialisation,114,"Teacher training with subject specialisation is the study of the theories, methods and practice of teaching a specific subject, mostly at secondary or higher levels of education. Programmes and qualifications included in this detailed field often comprise both studies as well as the subject/subjects that are going to be taught.
Programmes and qualifications with the following main content are classified here:
Teacher training - arts and crafts
Teacher training - commercial subjects
Teacher training - music
Teacher training - nursing
Teacher training - physical training
Teacher training - second languages
Teacher training - specific theoretical subjects, e.g. English, mathematics, history
Teacher training - technical subjects
Teacher training - vocational subjects
Training of driving instructors
Training of trainers

=== Inclusions
Teacher training courses for university teachers, instructors of work place and working life skills and in practical and artistic subjects are included here.

=== Exclusions
Training of sports trainers is excluded from this detailed field and included in detailed field 1014 'Sports'.",http://data.europa.eu/esco/isced-f/0114,['http://data.europa.eu/esco/isced-f/011'],[],"teacher training with subject specialisation. Teacher training with subject specialisation is the study of the theories, methods and practice of teaching a specific subject, mostly at secondary or higher levels of education. Programmes and qualifications included in this detailed field often comprise both studies as well as the subject/subjects that are going to be taught.
Programmes and qualifications with the following main content are classified here:
Teacher training - arts and crafts
Teacher training - commercial subjects
Teacher training - music
Teacher training - nursing
Teacher training - physical training
Teacher training - second languages
Teacher training - specific theoretical subjects, e.g. English, mathematics, history
Teacher training - technical subjects
Teacher training - vocational subjects
Training of driving instructors
Training of trainers

=== Inclusions
Teacher training courses for university teachers, instructors of work place and working life skills and in practical and artistic subjects are included here.

=== Exclusions
Training of sports trainers is excluded from this detailed field and included in detailed field 1014 'Sports'."
2,arts and humanities not further defined,20,,http://data.europa.eu/esco/isced-f/020,['http://data.europa.eu/esco/isced-f/02'],['http://data.europa.eu/esco/isced-f/0200'],arts and humanities not further defined. 
1,health and welfare,9,,http://data.europa.eu/esco/isced-f/09,['http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22'],"['http://data.europa.eu/esco/isced-f/091', 'http://data.europa.eu/esco/isced-f/092', 'http://data.europa.eu/esco/isced-f/099', 'http://data.europa.eu/esco/isced-f/098', 'http://data.europa.eu/esco/isced-f/090']",health and welfare. 
3,traditional and complementary medicine and therapy,917,"Traditional and complementary medicine is the study of alternative medicine.
Programmes and qualifications with the following main content are classified here:
Acupuncture and oriental medicine
Aromatherapy
Ayurvedic medicine
Herbalism
Herbology
Holistic medicine
Homeopathic medicine
Traditional medicine, for example Chinese",http://data.europa.eu/esco/isced-f/0917,['http://data.europa.eu/esco/isced-f/091'],[],"traditional and complementary medicine and therapy. Traditional and complementary medicine is the study of alternative medicine.
Programmes and qualifications with the following main content are classified here:
Acupuncture and oriental medicine
Aromatherapy
Ayurvedic medicine
Herbalism
Herbology
Holistic medicine
Homeopathic medicine
Traditional medicine, for example Chinese"
3,hygiene and occupational health services not elsewhere classified,1029,,http://data.europa.eu/esco/isced-f/1029,['http://data.europa.eu/esco/isced-f/102'],[],hygiene and occupational health services not elsewhere classified. 
3,pharmacy,916,"Pharmacy is the study of drugs and their effects on humans. It includes their preparation, dispensing and administration.
Programmes and qualifications with the following main content are classified here:
Dispensing pharmacy
Pharmacy

=== Exclusions
Study of pharmacology is excluded from this detailed field and included in detailed field 0511 'Biology'.",http://data.europa.eu/esco/isced-f/0916,['http://data.europa.eu/esco/isced-f/091'],[],"pharmacy. Pharmacy is the study of drugs and their effects on humans. It includes their preparation, dispensing and administration.
Programmes and qualifications with the following main content are classified here:
Dispensing pharmacy
Pharmacy

=== Exclusions
Study of pharmacology is excluded from this detailed field and included in detailed field 0511 'Biology'."
3,arts not elsewhere classified,219,,http://data.europa.eu/esco/isced-f/0219,['http://data.europa.eu/esco/isced-f/021'],[],arts not elsewhere classified. 
3,transport services,1041,"Transport is the study of operating, navigating and directing ships, train, aircraft and other forms of transportation.
Programmes and qualifications with the following main content are classified here:
Aircraft operation
Air traffic control
Air traffic safety
Cabin crew training
Communication (air, railway, road etc.) programmes
Crane and truck driving
Driving programmes
Flying and navigation
Navigation technologies
Postal service
Railway operations
Road motor vehicle operations
Ship operation
Shipping
Transport studies

=== Exclusions
Programmes in telephone network services are excluded from this detailed field and included in detailed field 0714 'Electronics and automation'. Programmes in switchboard operating are excluded from this detailed field and included in detailed field 0415 'Secretarial and office work'.",http://data.europa.eu/esco/isced-f/1041,['http://data.europa.eu/esco/isced-f/104'],[],"transport services. Transport is the study of operating, navigating and directing ships, train, aircraft and other forms of transportation.
Programmes and qualifications with the following main content are classified here:
Aircraft operation
Air traffic control
Air traffic safety
Cabin crew training
Communication (air, railway, road etc.) programmes
Crane and truck driving
Driving programmes
Flying and navigation
Navigation technologies
Postal service
Railway operations
Road motor vehicle operations
Ship operation
Shipping
Transport studies

=== Exclusions
Programmes in telephone network services are excluded from this detailed field and included in detailed field 0714 'Electronics and automation'. Programmes in switchboard operating are excluded from this detailed field and included in detailed field 0415 'Secretarial and office work'."
3,journalism and information not elsewhere classified,329,,http://data.europa.eu/esco/isced-f/0329,['http://data.europa.eu/esco/isced-f/032'],[],journalism and information not elsewhere classified. 
3,training for pre-school teachers,112,"Training for pre-school teachers is the study of the theories, methods and practice of teaching very young children up to 7 years of age within formal school settings at pre-primary or early childhood educational development levels.
Programmes and qualifications with the following main content are classified here:
Early childhood teaching (within formal school settings)
Pre-primary teacher training

=== Exclusions
Training in caring for children outside formal school settings is excluded from this detailed field and included in detailed field 0922 'Child care and youth services'.",http://data.europa.eu/esco/isced-f/0112,['http://data.europa.eu/esco/isced-f/011'],[],"training for pre-school teachers. Training for pre-school teachers is the study of the theories, methods and practice of teaching very young children up to 7 years of age within formal school settings at pre-primary or early childhood educational development levels.
Programmes and qualifications with the following main content are classified here:
Early childhood teaching (within formal school settings)
Pre-primary teacher training

=== Exclusions
Training in caring for children outside formal school settings is excluded from this detailed field and included in detailed field 0922 'Child care and youth services'."
3,physics,533,"Physics is the study of properties and interactions of matter and energy. It includes the study of astronomy and space science.
Programmes and qualifications with the following main content are classified here:
Astronomy
Astrophysics
Chemical physics
Medical physics
Optics
Physics
Space science

=== Exclusions
Opticians' practice is excluded from this detailed field and included in detailed field 0914 'Medical diagnostic and treatment technology'.",http://data.europa.eu/esco/isced-f/0533,['http://data.europa.eu/esco/isced-f/053'],[],"physics. Physics is the study of properties and interactions of matter and energy. It includes the study of astronomy and space science.
Programmes and qualifications with the following main content are classified here:
Astronomy
Astrophysics
Chemical physics
Medical physics
Optics
Physics
Space science

=== Exclusions
Opticians' practice is excluded from this detailed field and included in detailed field 0914 'Medical diagnostic and treatment technology'."
3,social work and counselling,923,"Social work and counselling is the study of the welfare needs of communities, specific groups and individuals and the appropriate ways of meeting these needs. The focus is on social welfare with emphasis on social policy and practice.
Programmes and qualifications with the following main content are classified here:
Alcohol and drug abuse counselling
Alcohol, tobacco, drugs (knowledge about)
Crisis support
Family and marriage counselling
Mobbing and maltreatment (knowledge about)
Parole officer training
Probation officer training
Social policy
Social practice
Social theory (applied)
Social work (welfare)
Vocational counselling
Vocational guidance

=== Exclusions
Study of sociology and social science is excluded from this detailed field and included in detailed field 0314 'Sociology and cultural studies'.
Studies combining health care and social care (e.g. for old people) are excluded from this detailed field and included in detailed field 0913 'Nursing and midwifery'.",http://data.europa.eu/esco/isced-f/0923,['http://data.europa.eu/esco/isced-f/092'],[],"social work and counselling. Social work and counselling is the study of the welfare needs of communities, specific groups and individuals and the appropriate ways of meeting these needs. The focus is on social welfare with emphasis on social policy and practice.
Programmes and qualifications with the following main content are classified here:
Alcohol and drug abuse counselling
Alcohol, tobacco, drugs (knowledge about)
Crisis support
Family and marriage counselling
Mobbing and maltreatment (knowledge about)
Parole officer training
Probation officer training
Social policy
Social practice
Social theory (applied)
Social work (welfare)
Vocational counselling
Vocational guidance

=== Exclusions
Study of sociology and social science is excluded from this detailed field and included in detailed field 0314 'Sociology and cultural studies'.
Studies combining health care and social care (e.g. for old people) are excluded from this detailed field and included in detailed field 0913 'Nursing and midwifery'."
1,"social sciences, journalism and information",3,,http://data.europa.eu/esco/isced-f/03,['http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22'],"['http://data.europa.eu/esco/isced-f/031', 'http://data.europa.eu/esco/isced-f/032', 'http://data.europa.eu/esco/isced-f/038', 'http://data.europa.eu/esco/isced-f/039', 'http://data.europa.eu/esco/isced-f/030']","social sciences, journalism and information. "
3,community sanitation,1021,"Community sanitation is the study of community services dealing with items that affect public health such as hygienic standards in food, water supply, disposal of sewage and garbage and street cleaning.
Programmes and qualifications with the following main content are classified here:
Hygiene, community
Hygienic standards
Refuse collection
Refuse/sewage disposal
Street cleaning
Water supply (service)
Waste management",http://data.europa.eu/esco/isced-f/1021,['http://data.europa.eu/esco/isced-f/102'],[],"community sanitation. Community sanitation is the study of community services dealing with items that affect public health such as hygienic standards in food, water supply, disposal of sewage and garbage and street cleaning.
Programmes and qualifications with the following main content are classified here:
Hygiene, community
Hygienic standards
Refuse collection
Refuse/sewage disposal
Street cleaning
Water supply (service)
Waste management"
3,"inter-disciplinary programmes and qualifications involving natural sciences, mathematics and statistics",588,"Inter-disciplinary or broad programmes and qualifications to which the greatest intended learning time is devoted to natural sciences, mathematics and statistics are classified here.",http://data.europa.eu/esco/isced-f/0588,['http://data.europa.eu/esco/isced-f/058'],[],"inter-disciplinary programmes and qualifications involving natural sciences, mathematics and statistics. Inter-disciplinary or broad programmes and qualifications to which the greatest intended learning time is devoted to natural sciences, mathematics and statistics are classified here."
2,law,42,,http://data.europa.eu/esco/isced-f/042,['http://data.europa.eu/esco/isced-f/04'],['http://data.europa.eu/esco/isced-f/0421'],law. 
3,education science,111,"Education science is the study of the learning process and the theories, methods and techniques of imparting knowledge to others.
Programmes and qualifications with the following main content are classified here:
Curriculum studies
Didactics
Educational assessment, testing and measurement
Educational evaluation and research
Paedagogical sciences

=== Exclusions
Teacher training programmes which combine education science with the practice of teaching are excluded from this detailed field and included in one of the detailed fields for teacher training (0112-0114).",http://data.europa.eu/esco/isced-f/0111,['http://data.europa.eu/esco/isced-f/011'],[],"education science. Education science is the study of the learning process and the theories, methods and techniques of imparting knowledge to others.
Programmes and qualifications with the following main content are classified here:
Curriculum studies
Didactics
Educational assessment, testing and measurement
Educational evaluation and research
Paedagogical sciences

=== Exclusions
Teacher training programmes which combine education science with the practice of teaching are excluded from this detailed field and included in one of the detailed fields for teacher training (0112-0114)."
2,inter-disciplinary programmes and qualifications involving health and welfare,98,,http://data.europa.eu/esco/isced-f/098,['http://data.europa.eu/esco/isced-f/09'],['http://data.europa.eu/esco/isced-f/0988'],inter-disciplinary programmes and qualifications involving health and welfare. 
1,"engineering, manufacturing and construction",7,,http://data.europa.eu/esco/isced-f/07,['http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22'],"['http://data.europa.eu/esco/isced-f/071', 'http://data.europa.eu/esco/isced-f/073', 'http://data.europa.eu/esco/isced-f/072', 'http://data.europa.eu/esco/isced-f/079', 'http://data.europa.eu/esco/isced-f/070', 'http://data.europa.eu/esco/isced-f/078']","engineering, manufacturing and construction. "
3,management and administration,413,"Management and administration is the study of planning, directing and operating the functions and activities of organizations and institutions. Programmes in management also including administration, economics, finance etc. are included here if emphasis is given to management and administration.
Programmes and qualifications with the following main content are classified here:
Administration
Educational management
Employment management
Entrepreneurship
Health administration
Logistic management
Management science
Office management
Organizational theory and behaviour
Personnel administration
Personnel management
'Start your own business' courses
Supply change management
Training management

=== Inclusions:
Study of leadership in the context of management is included here.

=== Exclusions:
Training in leadership in the context of personal development is excluded from this detailed field and included in detailed field 0031 'Personal skills'.
Study of administration in the meaning of office work is excluded from this detailed field and included in detailed field 0415 'Secretarial and office work'.",http://data.europa.eu/esco/isced-f/0413,['http://data.europa.eu/esco/isced-f/041'],[],"management and administration. Management and administration is the study of planning, directing and operating the functions and activities of organizations and institutions. Programmes in management also including administration, economics, finance etc. are included here if emphasis is given to management and administration.
Programmes and qualifications with the following main content are classified here:
Administration
Educational management
Employment management
Entrepreneurship
Health administration
Logistic management
Management science
Office management
Organizational theory and behaviour
Personnel administration
Personnel management
'Start your own business' courses
Supply change management
Training management

=== Inclusions:
Study of leadership in the context of management is included here.

=== Exclusions:
Training in leadership in the context of personal development is excluded from this detailed field and included in detailed field 0031 'Personal skills'.
Study of administration in the meaning of office work is excluded from this detailed field and included in detailed field 0415 'Secretarial and office work'."
3,child care and youth services,922,"Child care and youth services are the study of the development and non-medical care of children and youths. It includes the study of recreation and leisure activities as a social service for school children and young adults.
Programmes and qualifications with the following main content are classified here:
Child care
Child recreation programmes
Day care
Non-medical care of disabled children
Youth services
Youth worker programmes

=== Exclusions
Study of early childhood education in pre-schools is excluded from this detailed field and included in detailed field 0112 'Training for pre-school teachers'.
Study of health care of children is excluded from this detailed field and included in detailed field 0913 'Nursing and midwifery'.",http://data.europa.eu/esco/isced-f/0922,['http://data.europa.eu/esco/isced-f/092'],[],"child care and youth services. Child care and youth services are the study of the development and non-medical care of children and youths. It includes the study of recreation and leisure activities as a social service for school children and young adults.
Programmes and qualifications with the following main content are classified here:
Child care
Child recreation programmes
Day care
Non-medical care of disabled children
Youth services
Youth worker programmes

=== Exclusions
Study of early childhood education in pre-schools is excluded from this detailed field and included in detailed field 0112 'Training for pre-school teachers'.
Study of health care of children is excluded from this detailed field and included in detailed field 0913 'Nursing and midwifery'."
3,"business, administration and law not elsewhere classified",499,,http://data.europa.eu/esco/isced-f/0499,['http://data.europa.eu/esco/isced-f/049'],[],"business, administration and law not elsewhere classified. "
3,"motor vehicles, ships and aircraft",716,"Motor vehicles, ships and aircraft is the study of designing, developing, producing, maintaining, diagnosing faults in, repairing and servicing motor vehicles, including earth moving equipment and agriculture machines, ships, trains and aircraft. Typical is the combination of studies in both metal structures and motors.
Programmes and qualifications with the following main content are classified here:
Aerospace engineering
Aircraft engineering
Aircraft maintenance
Automotive electrical systems
Automotive engineering
Avionics
Coachwork
Marine engineering
Motorcycle engineering
Panel beating
Shipbuilding
Train repair and maintenance
Vehicle building and repairing
Vehicle varnishing/spraying

=== Inclusions
Study of vehicle electrical systems is included here.

=== Exclusions
Study of producing and repairing non-motorised vehicles is excluded from this detailed field and included in 0715 'Mechanics and metal work' (e.g. bicycles) or 0722 'Materials (glass, paper, plastic, wood)' (e.g. non-motor boats).",http://data.europa.eu/esco/isced-f/0716,['http://data.europa.eu/esco/isced-f/071'],[],"motor vehicles, ships and aircraft. Motor vehicles, ships and aircraft is the study of designing, developing, producing, maintaining, diagnosing faults in, repairing and servicing motor vehicles, including earth moving equipment and agriculture machines, ships, trains and aircraft. Typical is the combination of studies in both metal structures and motors.
Programmes and qualifications with the following main content are classified here:
Aerospace engineering
Aircraft engineering
Aircraft maintenance
Automotive electrical systems
Automotive engineering
Avionics
Coachwork
Marine engineering
Motorcycle engineering
Panel beating
Shipbuilding
Train repair and maintenance
Vehicle building and repairing
Vehicle varnishing/spraying

=== Inclusions
Study of vehicle electrical systems is included here.

=== Exclusions
Study of producing and repairing non-motorised vehicles is excluded from this detailed field and included in 0715 'Mechanics and metal work' (e.g. bicycles) or 0722 'Materials (glass, paper, plastic, wood)' (e.g. non-motor boats)."
3,teacher training without subject specialisation,113,"Training for teachers without subject specialisation is the study of the theories, methods and practice of providing children between approximately 5 and 15 years of age with the fundamental skills in reading, writing and mathematics along with an elementary understanding of other subjects such as history, geography, social science etc. and laying the foundation for lifelong learning. Subject specialisation is stressed less than in detailed field 0114 'Teacher training with subject specialisation'. The study of teaching children with special needs is included in this detailed field, likewise the study of teaching adults fundamental reading and writing skills and teaching immigrants these types of skills in their home or first language.
Programmes and qualifications with the following main content are classified here:
Class teacher training
Indigenous teacher training
Primary teaching
Teacher training for children with special needs

=== Inclusions
The study of teaching adults basic literacy and numeracy skills is included here. Teacher's aide (teaching assistant) is also included here.

=== Exclusions
Teacher training with subject specialisation even if intended for the teaching of children in primary or lower secondary education is excluded from this detailed field and included in detailed field 0114 'Teacher training with subject specialisation'.",http://data.europa.eu/esco/isced-f/0113,['http://data.europa.eu/esco/isced-f/011'],[],"teacher training without subject specialisation. Training for teachers without subject specialisation is the study of the theories, methods and practice of providing children between approximately 5 and 15 years of age with the fundamental skills in reading, writing and mathematics along with an elementary understanding of other subjects such as history, geography, social science etc. and laying the foundation for lifelong learning. Subject specialisation is stressed less than in detailed field 0114 'Teacher training with subject specialisation'. The study of teaching children with special needs is included in this detailed field, likewise the study of teaching adults fundamental reading and writing skills and teaching immigrants these types of skills in their home or first language.
Programmes and qualifications with the following main content are classified here:
Class teacher training
Indigenous teacher training
Primary teaching
Teacher training for children with special needs

=== Inclusions
The study of teaching adults basic literacy and numeracy skills is included here. Teacher's aide (teaching assistant) is also included here.

=== Exclusions
Teacher training with subject specialisation even if intended for the teaching of children in primary or lower secondary education is excluded from this detailed field and included in detailed field 0114 'Teacher training with subject specialisation'."
3,field unknown,9999,,http://data.europa.eu/esco/isced-f/9999,['http://data.europa.eu/esco/isced-f/999'],[],field unknown. 
2,information and communication technologies (icts),61,,http://data.europa.eu/esco/isced-f/061,['http://data.europa.eu/esco/isced-f/06'],"['http://data.europa.eu/esco/isced-f/0613', 'http://data.europa.eu/esco/isced-f/0611', 'http://data.europa.eu/esco/isced-f/0612', 'http://data.europa.eu/esco/isced-f/0610', 'http://data.europa.eu/esco/isced-f/0619']",information and communication technologies (icts). 
3,environment not further defined,520,,http://data.europa.eu/esco/isced-f/0520,['http://data.europa.eu/esco/isced-f/052'],[],environment not further defined. 
3,journalism and information not further defined,320,,http://data.europa.eu/esco/isced-f/0320,['http://data.europa.eu/esco/isced-f/032'],[],journalism and information not further defined. 
3,personal services not further defined,1010,,http://data.europa.eu/esco/isced-f/1010,['http://data.europa.eu/esco/isced-f/101'],[],personal services not further defined. 
3,marketing and advertising,414,"Marketing and advertising is the study of promoting the exchange processes of goods and services between organizations and/or individuals, and the study of consumer behaviour and requirements. It includes the study of the role of product development, pricing, distribution, promotion and sales in order to maximise business performance.
Programmes and qualifications with the following main content are classified here:
Advertising
Consumer behaviour
Market research
Marketing
Merchandising
Public relations",http://data.europa.eu/esco/isced-f/0414,['http://data.europa.eu/esco/isced-f/041'],[],"marketing and advertising. Marketing and advertising is the study of promoting the exchange processes of goods and services between organizations and/or individuals, and the study of consumer behaviour and requirements. It includes the study of the role of product development, pricing, distribution, promotion and sales in order to maximise business performance.
Programmes and qualifications with the following main content are classified here:
Advertising
Consumer behaviour
Market research
Marketing
Merchandising
Public relations"
3,earth sciences,532,"Earth sciences is the study of the composition and structure of earth including the hydrosphere and the atmosphere.
Programmes and qualifications with the following main content are classified here:
Climate research
Earth science
Geodesy
Geography (physical)
Geology
Geomatics
Geospatial technology
Meteorology
Oceanography
Seismology

=== Exclusions
Social geography is excluded from this detailed field and included in detailed field 0314 'Sociology and cultural studies'. Soil science is excluded from this detailed field and included in detailed field 0811 'Crop and livestock production'.",http://data.europa.eu/esco/isced-f/0532,['http://data.europa.eu/esco/isced-f/053'],[],"earth sciences. Earth sciences is the study of the composition and structure of earth including the hydrosphere and the atmosphere.
Programmes and qualifications with the following main content are classified here:
Climate research
Earth science
Geodesy
Geography (physical)
Geology
Geomatics
Geospatial technology
Meteorology
Oceanography
Seismology

=== Exclusions
Social geography is excluded from this detailed field and included in detailed field 0314 'Sociology and cultural studies'. Soil science is excluded from this detailed field and included in detailed field 0811 'Crop and livestock production'."
3,"engineering, manufacturing and construction not elsewhere classified",799,,http://data.europa.eu/esco/isced-f/0799,['http://data.europa.eu/esco/isced-f/079'],[],"engineering, manufacturing and construction not elsewhere classified. "
3,computer use,611,"Computer use is the study of using computers and computer software and applications for different purposes. These programmes are generally of short duration.
Programmes and qualifications with the following main content are classified here:
Computer use
Use of software for calculating (spread sheets)
Use of software for data processing
Use of software for desk top publishing
Use of software for word processing
Use of Internet",http://data.europa.eu/esco/isced-f/0611,['http://data.europa.eu/esco/isced-f/061'],[],"computer use. Computer use is the study of using computers and computer software and applications for different purposes. These programmes are generally of short duration.
Programmes and qualifications with the following main content are classified here:
Computer use
Use of software for calculating (spread sheets)
Use of software for data processing
Use of software for desk top publishing
Use of software for word processing
Use of Internet"
2,humanities (except languages),22,,http://data.europa.eu/esco/isced-f/022,['http://data.europa.eu/esco/isced-f/02'],"['http://data.europa.eu/esco/isced-f/0221', 'http://data.europa.eu/esco/isced-f/0223', 'http://data.europa.eu/esco/isced-f/0222', 'http://data.europa.eu/esco/isced-f/0228', 'http://data.europa.eu/esco/isced-f/0229', 'http://data.europa.eu/esco/isced-f/0220']",humanities (except languages). 
2,engineering and engineering trades,71,,http://data.europa.eu/esco/isced-f/071,['http://data.europa.eu/esco/isced-f/07'],"['http://data.europa.eu/esco/isced-f/0711', 'http://data.europa.eu/esco/isced-f/0715', 'http://data.europa.eu/esco/isced-f/0712', 'http://data.europa.eu/esco/isced-f/0713', 'http://data.europa.eu/esco/isced-f/0710', 'http://data.europa.eu/esco/isced-f/0714', 'http://data.europa.eu/esco/isced-f/0716', 'http://data.europa.eu/esco/isced-f/0719']",engineering and engineering trades. 
